question_id,bundle_id,explanation_id,correct_answer,part,tags,deployed_at
q1,b1,e1,b,1,1;2;179;181,1558093217098
q2,b2,e2,a,1,15;2;182,1558093219720
q3,b3,e3,b,1,14;2;179;183,1558093222784
q4,b4,e4,b,1,9;2;179;184,1558093225357
q5,b5,e5,c,1,8;2;179;181,1558093228439
q6,b6,e6,d,1,9;2;179;182,1558093231307
q7,b7,e7,d,1,11;7;179;183,1558093233992
q8,b8,e8,b,1,20;21;179;184,1558093236876
q9,b9,e9,c,1,13;2;179;183,1558093239849
q10,b10,e10,c,1,17;7;182,1558093243018
q11,b11,e11,b,1,15;2;181,1514559389635
q12,b12,e12,c,1,1;2;182,1514559392780
q13,b13,e13,a,1,1;2;183,1514559396067
q14,b14,e14,a,1,8;2;184,1514559399379
q15,b15,e15,d,1,14;2;181,1514559402986
q16,b16,e16,c,1,20;21;182,1514559406284
q17,b17,e17,c,1,19;2;183,-1
q18,b18,e18,b,1,5;2;179;184,1514559409803
q19,b19,e19,a,1,20;21;183,1514559412897
q20,b20,e20,b,1,10;7;179;182,1514559416209
q21,b21,e21,d,1,9;2;179;181,1568688286778
q22,b22,e22,c,1,6;7;179;182,1568688288996
q23,b23,e23,d,1,8;2;183,1568688291184
q24,b24,e24,a,1,6;7;184,1568688293421
q25,b25,e25,c,1,6;7;181,1568688295561
q26,b26,e26,a,1,6;7;182,1568688297819
q27,b27,e27,a,1,4;2;179;183,1568688300050
q28,b28,e28,a,1,6;7;184,1568688302532
q29,b29,e29,d,1,4;2;183,1568688304653
q30,b30,e30,b,1,13;2;179;182,-1
q31,b31,e31,b,1,1;2;179;181,1514558542994
q32,b32,e32,a,1,3;2;179;182,1514558546005
q33,b33,e33,c,1,4;2;179;183,1514558549023
q34,b34,e34,b,1,5;2;179;181,1514558551954
q35,b35,e35,a,1,6;7;183,1514558555136
q36,b36,e36,b,1,8;2;182,1514558558278
q37,b37,e37,c,1,9;2;179;181,1514558561318
q38,b38,e38,a,1,3;2;182,1514558564485
q39,b39,e39,b,1,10;7;179;183,1514558567475
q40,b40,e40,b,1,11;7;181,1514558570368
q41,b41,e41,d,1,4;2;181,1514558923551
q42,b42,e42,b,1,5;2;179;182,1514558926336
q43,b43,e43,a,1,16;2;183,1514558929124
q44,b44,e44,d,1,13;2;179;184,1514558931991
q45,b45,e45,d,1,6;7;181,1514558934629
q46,b46,e46,a,1,17;7;179;182,1514558937639
q47,b47,e47,d,1,4;2;179;183,1514558941520
q48,b48,e48,d,1,6;7;184,1514558945249
q49,b49,e49,c,1,6;7;179;183,1514558948185
q50,b50,e50,d,1,17;7;179;182,-1
q51,b51,e51,c,1,14;2;181,1514558793376
q52,b52,e52,b,1,22;2;182,1514558796081
q53,b53,e53,c,1,19;2;183,1514558798808
q54,b54,e54,b,1,9;2;179;184,1514558802574
q55,b55,e55,d,1,6;7;181,1514558805793
q56,b56,e56,c,1,15;2;179;182,1514558808521
q57,b57,e57,a,1,20;21;179;183,1514558811375
q58,b58,e58,b,1,5;2;179;184,1514558814000
q59,b59,e59,b,1,17;7;183,1514558816923
q60,b60,e60,a,1,14;2;179;182,1514558819769
q61,b61,e61,c,1,6;7;181,1568687742288
q62,b62,e62,c,1,17;7;185,1568687744452
q63,b63,e63,b,1,4;2;185,1568687746591
q64,b64,e64,d,1,9;2;181,1568687748836
q65,b65,e65,b,1,12;2;183,1568687751001
q66,b66,e66,d,1,15;2;185,1568687753140
q67,b67,e67,c,1,4;2;181,1568687755504
q68,b68,e68,b,1,22;2;185,1568687757669
q69,b69,e69,d,1,1;2;185,1568687759850
q70,b70,e70,d,1,6;7;181,1568687762004
q71,b71,e71,b,1,1;2;179;181,1514558272091
q72,b72,e72,a,1,14;2;179;182,1514558275857
q73,b73,e73,b,1,5;2;179;183,1514558279647
q74,b74,e74,a,1,5;2;179;184,1514558284079
q75,b75,e75,b,1,6;7;181,-1
q76,b76,e76,a,1,8;2;182,1514558287998
q77,b77,e77,c,1,11;7;183,1514558291712
q78,b78,e78,d,1,17;7;184,1514558295221
q79,b79,e79,a,1,4;2;183,1514558298595
q80,b80,e80,d,1,15;2;179;182,1514558301874
q81,b81,e81,b,1,6;7;181,1528943115623
q82,b82,e82,a,1,8;2;185,1528943117887
q83,b83,e83,d,1,6;7;185,-1
q84,b84,e84,c,1,20;21;181,1528943120323
q85,b85,e85,d,1,15;2;183,1528943122534
q86,b86,e86,a,1,13;2;185,1528943124645
q87,b87,e87,b,1,10;7;181,1528943126997
q88,b88,e88,a,1,12;2;185,1528943129194
q89,b89,e89,a,1,14;2;185,1528943131462
q90,b90,e90,a,1,15;2;181,1528943133552
q91,b91,e91,d,1,5;2;179;181,1514560456019
q92,b92,e92,a,1,4;2;182,1514560458878
q93,b93,e93,c,1,22;2;183,-1
q94,b94,e94,c,1,1;2;179;184,1514560462060
q95,b95,e95,d,1,8;2;179;181,1514560465332
q96,b96,e96,c,1,6;7;182,1514560468683
q97,b97,e97,d,1,6;7;183,1514560471645
q98,b98,e98,a,1,5;2;179;184,1514560474507
q99,b99,e99,a,1,18;7;179;182,1514560477560
q100,b100,e100,c,1,22;2;181,1514558485914
q101,b101,e101,b,1,8;2;182,-1
q102,b102,e102,c,1,22;2;179;183,-1
q103,b103,e103,c,1,4;2;184,1514558492184
q104,b104,e104,b,1,6;7;181,1514558505441
q105,b105,e105,d,1,5;2;179;182,1514558511078
q106,b106,e106,a,1,4;2;184,1514558516117
q107,b107,e107,d,1,10;7;179;183,1514558534161
q108,b108,e108,a,1,10;7;182,1514558540092
q109,b109,e109,c,1,4;2;183,1561366485440
q110,b110,e110,c,1,12;2;182,1561366487562
q111,b111,e111,a,1,13;2;181,1561366489887
q112,b112,e112,b,1,14;2;179;182,1561366492084
q113,b113,e113,d,1,14;2;183,1561366494316
q114,b114,e114,b,1,10;7;179;181,1561366496549
q115,b115,e115,a,1,15;2;183,1561366498753
q116,b116,e116,a,1,16;2;179;182,1561366500868
q117,b117,e117,b,1,10;7;181,-1
q118,b118,e118,d,1,14;2;179;182,1561366502998
q119,b119,e119,d,1,4;2;181,1514560217598
q120,b120,e120,b,1,1;2;185,1514560221527
q121,b121,e121,c,1,20;21;185,1514560224678
q122,b122,e122,d,1,8;2;181,1514560227744
q123,b123,e123,a,1,17;7;183,1514560231016
q124,b124,e124,b,1,20;21;185,1514560234362
q125,b125,e125,a,1,6;7;181,1514560237313
q126,b126,e126,c,1,15;2;185,1514560240673
q127,b127,e127,b,1,6;7;185,1514560243799
q128,b128,e128,b,1,13;2;181,1514560247277
q129,b129,e129,b,1,9;2;183,1514559419303
q130,b130,e130,d,1,6;7;182,1514559422454
q131,b131,e131,c,1,19;2;181,1514559425420
q132,b132,e132,a,1,12;2;179;182,1514559428267
q133,b133,e133,b,1,8;2;179;183,1514559431147
q134,b134,e134,b,1,5;2;181,1514559434180
q135,b135,e135,d,1,4;2;183,1514559437175
q136,b136,e136,c,1,3;2;179;182,1514559440230
q137,b137,e137,b,1,5;2;181,1514559443234
q138,b138,e138,c,1,10;7;179;182,-1
q139,b139,e139,a,1,14;2;183,1514559745173
q140,b140,e140,d,1,16;2;179;181,1514559747879
q141,b141,e141,b,1,9;2;183,1514559750600
q142,b142,e142,d,1,12;2;182,1514559753405
q143,b143,e143,c,1,11;7;181,1514559756300
q144,b144,e144,d,1,4;2;182,1514559759194
q145,b145,e145,b,1,13;2;183,1514559762217
q146,b146,e146,b,1,6;7;179;181,1514559765424
q147,b147,e147,b,1,17;7;183,-1
q148,b148,e148,c,1,14;2;182,-1
q149,b149,e149,b,1,13;2;181,1514559503340
q150,b150,e150,d,1,5;2;182,1514559506263
q151,b151,e151,d,1,6;7;181,1514559509332
q152,b152,e152,c,1,5;2;179;183,1514559512298
q153,b153,e153,a,1,8;2;179;182,1514559515383
q154,b154,e154,b,1,18;7;181,1514559518405
q155,b155,e155,c,1,10;7;182,-1
q156,b156,e156,a,1,4;2;183,1514559521384
q157,b157,e157,d,1,14;2;179;181,1514559524446
q158,b158,e158,c,1,8;2;181,1514558232488
q159,b159,e159,a,1,9;2;185,1514558237263
q160,b160,e160,d,1,8;2;185,1514558241522
q161,b161,e161,d,1,5;2;181,1514558245605
q162,b162,e162,b,1,3;2;183,1514558249577
